Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Swap_net,Managed_net,other_net,Prod_net,Swap_ratio,Managed_ratio,other_ratio,Prod_ratio,spot_price
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170711,2133575,427434,631049,202813,360569,308829,151574,320180,119410,-157756,157255,200770,-203615,-0.073939749012807,0.073704931863187,0.094100277702916,-0.095433720398861,45.04
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170703,2172632,426428,622760,221906,363720,309364,181396,324438,111359,-141814,127968,213079,-196332,-0.065272904016879,0.058899988585274,0.098074133125168,-0.090365970859308,47.07
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170627,2143111,409438,603555,214847,367068,308260,202277,330618,109413,-152221,105983,221205,-194117,-0.071028052210082,0.049452874816097,0.10321677225305,-0.090577202954023,44.24
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170620,2118015,397367,595480,205036,366637,299982,189233,328566,110551,-161601,110749,218015,-198113,-0.076298326499104,0.052289053665814,0.1029336430573,-0.093537109038416,43.51
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170613,2176740,392697,603785,206420,371337,317192,148565,322117,131745,-164917,168627,190372,-211088,-0.075763297408051,0.077467681027592,0.087457390409511,-0.09697437452337,46.46
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170606,2228585,395477,615582,192772,363486,308157,106567,316698,135819,-170714,201590,180879,-220105,-0.076601969411084,0.090456500425158,0.081163159583323,-0.098764462652311,48.19
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170530,2198081,406726,617446,191010,358055,289584,104388,305993,117434,-167045,185196,188559,-210720,-0.075995834548408,0.084253492023269,0.085783462938809,-0.095865438989737,49.66
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170523,2211099,418969,630557,202750,359713,287276,114532,308223,107978,-156963,172744,200245,-211588,-0.070988680289756,0.078125855061216,0.090563561378301,-0.09569358947745,51.47
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170516,2337124,438514,654646,224717,342092,293217,177657,352824,139432,-117375,115560,213392,-216132,-0.050221982231152,0.049445386723169,0.091305382170565,-0.092477763268017,48.66
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",170509,2276413,431647,646442,223062,348061,299622,183771,355574,142674,-124999,115851,212900,-214795,-0.054910510526868,0.050891907575646,0.093524329724,-0.094356779723187,45.88
